Date,Adj Close,Close,High,Low,Open,Volume
01-01-2018,772.6409912,772.6409912,782.5300293,742.0040283,755.757019,2595760128
02-01-2018,884.4439697,884.4439697,914.8300171,772.3460083,772.3460083,5783349760
03-01-2018,962.7199707,962.7199707,974.4710083,868.4509888,886,5093159936
04-01-2018,980.9219971,980.9219971,1045.079956,946.0859985,961.7130127,6502859776
05-01-2018,997.7199707,997.7199707,1075.390015,956.3250122,975.75,6683149824
06-01-2018,1041.680054,1041.680054,1060.709961,994.6220093,995.1539917,4662219776
07-01-2018,1153.170044,1153.170044,1153.170044,1043.01001,1043.01001,5569880064
08-01-2018,1148.530029,1148.530029,1266.930054,1016.049988,1158.26001,8450970112
09-01-2018,1299.73999,1299.73999,1320.97998,1145.48999,1146,7965459968
10-01-2018,1255.819946,1255.819946,1417.380005,1226.599976,1300.339966,9214950400
11-01-2018,1154.930054,1154.930054,1337.300049,1135.170044,1268.089966,7235899904
12-01-2018,1273.199951,1273.199951,1296.040039,1120.089966,1158.290039,5222300160
13-01-2018,1396.420044,1396.420044,1432.880005,1270.469971,1270.469971,5746760192
14-01-2018,1366.77002,1366.77002,1400.560059,1286.209961,1397.47998,4841630208
15-01-2018,1291.920044,1291.920044,1390.589966,1290.599976,1365.209961,4781100032
16-01-2018,1053.689941,1053.689941,1292.630005,875.5449829,1292.630005,8405139968
17-01-2018,1014.25,1014.25,1090.22998,780.9219971,1061.339966,8545160192
18-01-2018,1036.280029,1036.280029,1100.310059,967.7589722,1016.440002,5938319872
19-01-2018,1039.099976,1039.099976,1093.219971,1003.710022,1028.819946,4084450048
20-01-2018,1155.150024,1155.150024,1167.109985,1044.949951,1044.949951,3975190016
21-01-2018,1049.579956,1049.579956,1155.680054,1021.5,1155.680054,3378089984
22-01-2018,1003.26001,1003.26001,1089.099976,930.7410278,1055.349976,3810099968
23-01-2018,986.2290039,986.2290039,1023.22998,920.539978,1004.169983,3556699904
24-01-2018,1058.780029,1058.780029,1062.439941,965.8079834,987.4769897,3944039936
25-01-2018,1056.030029,1056.030029,1104.660034,1034.73999,1063.219971,4050190080
26-01-2018,1055.170044,1055.170044,1080.599976,996.7839966,1052.699951,3617690112
27-01-2018,1107.069946,1107.069946,1121.97998,1042.119995,1055.75,3002870016
28-01-2018,1246.01001,1246.01001,1257.77002,1111.780029,1111.780029,5372329984
