Date,Adj Close,Close,High,Low,Open,Volume
01-01-2018,2.391030073,2.391030073,2.391030073,2.148969889,2.296020031,1894230016
02-01-2018,2.480900049,2.480900049,2.489190102,2.24793005,2.369479895,3171010048
03-01-2018,3.105370045,3.105370045,3.279380083,2.443150043,2.464099884,6635879936
04-01-2018,3.196630001,3.196630001,3.841939926,3.117340088,3.117340088,8103660032
05-01-2018,3.048710108,3.048710108,3.564680099,2.825609922,3.300810099,6288500224
06-01-2018,3.09397006,3.09397006,3.236560106,2.989919901,3.021049976,2777560064
07-01-2018,3.377810001,3.377810001,3.48725009,3.083820105,3.092959881,2395150080
08-01-2018,2.456209898,2.456209898,3.363569975,2.065520048,3.363569975,3315259904
09-01-2018,2.101779938,2.101779938,2.52895999,1.980659962,2.443459988,3694700032
10-01-2018,1.974920034,1.974920034,2.158869982,1.695189953,2.129909992,4833639936
11-01-2018,1.950799942,1.950799942,2.248980045,1.615270019,1.980209947,6296119808
12-01-2018,2.043230057,2.043230057,2.156820059,1.86729002,1.940479994,3330810112
13-01-2018,2.021349907,2.021349907,2.118700027,1.98202002,2.05140996,2130169984
14-01-2018,1.861189961,1.861189961,2.018520117,1.811840057,2.018520117,1978200064
15-01-2018,1.676730037,1.676730037,1.900810003,1.665289998,1.856250048,1838460032
16-01-2018,1.179239988,1.179239988,1.701380014,0.909313023,1.678359985,5687960064
17-01-2018,1.306339979,1.306339979,1.376729965,0.897796988,1.183680058,7251210240
18-01-2018,1.596580029,1.596580029,1.73318994,1.256049991,1.30558002,9110439936
19-01-2018,1.552049994,1.552049994,1.702139974,1.501340032,1.58217001,3697430016
20-01-2018,1.578619957,1.578619957,1.628329992,1.502740026,1.562839985,2346449920
21-01-2018,1.38004005,1.38004005,1.576230049,1.343029976,1.576230049,2840750080
22-01-2018,1.357349992,1.357349992,1.428410053,1.163079977,1.391610026,2642510080
23-01-2018,1.337069988,1.337069988,1.434720039,1.204259992,1.353189945,2977080064
24-01-2018,1.357149959,1.357149959,1.424960017,1.30783999,1.352120042,1853440000
25-01-2018,1.312229991,1.312229991,1.384840012,1.292870045,1.363250017,986067968
26-01-2018,1.217270017,1.217270017,1.326020002,1.13499999,1.308920026,2037570048
